category,expected_similarity,mean_similarity,std_similarity,min_similarity,max_similarity,count
word_order_argument_swap,low,0.9945,0.0029,0.9914,0.998,4
chinese_negation,low,0.9777,0.0055,0.9727,0.9854,4
english_negation,low,0.9604,0.0204,0.933,0.9792,4
synonym_substitution,high,0.9588,0.0166,0.944,0.9824,4
japanese_negation,low,0.9262,0.0407,0.8938,0.9796,4
cross_lingual_same_meaning,high,0.8244,0.1139,0.6115,0.9174,6
unrelated,low,0.7898,0.1914,0.5159,0.9329,4
cross_lingual_negation_mismatch,low,0.7747,0.1476,0.5035,0.9099,6
